_id,rent_approval_date,town,block,street_name,flat_type,monthly_rent
25,2021-01,ANG MO KIO,173,ANG MO KIO AVE 4,4-ROOM,2100
26,2021-01,ANG MO KIO,174,ANG MO KIO AVE 4,3-ROOM,1800
27,2021-01,ANG MO KIO,178,ANG MO KIO AVE 4,3-ROOM,1700
28,2021-01,ANG MO KIO,180,ANG MO KIO AVE 5,4-ROOM,2000
29,2021-01,ANG MO KIO,182,ANG MO KIO AVE 5,3-ROOM,2100
30,2021-01,ANG MO KIO,201,ANG MO KIO AVE 3,5-ROOM,1650
31,2021-01,ANG MO KIO,201,ANG MO KIO AVE 3,3-ROOM,1750
32,2021-01,ANG MO KIO,202,ANG MO KIO AVE 3,3-ROOM,1600
33,2021-01,ANG MO KIO,202,ANG MO KIO AVE 3,3-ROOM,1850
34,2021-01,ANG MO KIO,207,ANG MO KIO AVE 1,4-ROOM,2300
35,2021-01,ANG MO KIO,210,ANG MO KIO AVE 3,4-ROOM,1700
36,2021-01,ANG MO KIO,211,ANG MO KIO AVE 3,3-ROOM,2000
37,2021-01,ANG MO KIO,211,ANG MO KIO AVE 3,3-ROOM,2100
38,2021-01,ANG MO KIO,212,ANG MO KIO AVE 3,3-ROOM,1650
39,2021-01,ANG MO KIO,212,ANG MO KIO AVE 3,3-ROOM,2200
40,2021-01,ANG MO KIO,213,ANG MO KIO AVE 3,3-ROOM,1600
41,2021-01,ANG MO KIO,215,ANG MO KIO AVE 1,4-ROOM,2200
42,2021-01,ANG MO KIO,215,ANG MO KIO AVE 1,3-ROOM,1900
43,2021-01,ANG MO KIO,218,ANG MO KIO AVE 1,3-ROOM,1800
44,2021-01,ANG MO KIO,219,ANG MO KIO AVE 1,3-ROOM,1700
45,2021-01,ANG MO KIO,220,ANG MO KIO AVE 1,3-ROOM,1500
46,2021-01,ANG MO KIO,222,ANG MO KIO AVE 1,5-ROOM,2000
47,2021-01,ANG MO KIO,222,ANG MO KIO AVE 1,4-ROOM,2150
48,2021-01,ANG MO KIO,223,ANG MO KIO AVE 1,3-ROOM,1800
49,2021-01,ANG MO KIO,225,ANG MO KIO AVE 1,3-ROOM,1900
50,2021-01,ANG MO KIO,231,ANG MO KIO AVE 3,4-ROOM,2300
51,2021-01,ANG MO KIO,235,ANG MO KIO AVE 3,3-ROOM,1650
52,2021-01,ANG MO KIO,235,ANG MO KIO AVE 3,3-ROOM,1900
53,2021-01,ANG MO KIO,254,ANG MO KIO AVE 4,4-ROOM,1850
54,2021-01,ANG MO KIO,255,ANG MO KIO AVE 4,3-ROOM,2000
55,2021-01,ANG MO KIO,301,ANG MO KIO AVE 3,4-ROOM,1900
56,2021-01,ANG MO KIO,302,ANG MO KIO AVE 3,3-ROOM,1700
57,2021-01,ANG MO KIO,304,ANG MO KIO AVE 1,4-ROOM,1900
58,2021-01,ANG MO KIO,311,ANG MO KIO AVE 3,5-ROOM,2300
59,2021-01,ANG MO KIO,314,ANG MO KIO AVE 3,2-ROOM,1600
60,2021-01,ANG MO KIO,319,ANG MO KIO AVE 1,3-ROOM,2000
61,2021-01,ANG MO KIO,321,ANG MO KIO AVE 1,3-ROOM,2000
62,2021-01,ANG MO KIO,321,ANG MO KIO AVE 1,4-ROOM,2300
63,2021-01,ANG MO KIO,323,ANG MO KIO AVE 3,2-ROOM,1300
64,2021-01,ANG MO KIO,323,ANG MO KIO AVE 3,2-ROOM,1500
65,2021-01,ANG MO KIO,325,ANG MO KIO AVE 3,4-ROOM,2500
66,2021-01,ANG MO KIO,328,ANG MO KIO AVE 3,3-ROOM,1800
67,2021-01,ANG MO KIO,330,ANG MO KIO AVE 1,3-ROOM,1700
68,2021-01,ANG MO KIO,331,ANG MO KIO AVE 1,3-ROOM,1600
69,2021-01,ANG MO KIO,332,ANG MO KIO AVE 1,3-ROOM,1850
70,2021-01,ANG MO KIO,333,ANG MO KIO AVE 1,3-ROOM,2300
71,2021-01,ANG MO KIO,335,ANG MO KIO AVE 1,4-ROOM,2300
72,2021-01,ANG MO KIO,336,ANG MO KIO AVE 1,4-ROOM,2700
73,2021-01,ANG MO KIO,343,ANG MO KIO AVE 3,EXECUTIVE,3000
74,2021-01,ANG MO KIO,346,ANG MO KIO AVE 3,3-ROOM,1850
75,2021-01,ANG MO KIO,346,ANG MO KIO AVE 3,3-ROOM,1500
76,2021-01,ANG MO KIO,352,ANG MO KIO ST 32,4-ROOM,2000
77,2021-01,ANG MO KIO,353,ANG MO KIO ST 32,5-ROOM,2200
78,2021-01,ANG MO KIO,403,ANG MO KIO AVE 10,3-ROOM,2050
79,2021-01,ANG MO KIO,419,ANG MO KIO AVE 10,3-ROOM,1900
80,2021-01,ANG MO KIO,421,ANG MO KIO AVE 10,3-ROOM,1600
81,2021-01,ANG MO KIO,422,ANG MO KIO AVE 3,3-ROOM,1700
82,2021-01,ANG MO KIO,422,ANG MO KIO AVE 3,3-ROOM,1800
83,2021-01,ANG MO KIO,422,ANG MO KIO AVE 3,3-ROOM,2000
84,2021-01,ANG MO KIO,422,ANG MO KIO AVE 3,3-ROOM,1000
85,2021-01,ANG MO KIO,425,ANG MO KIO AVE 3,3-ROOM,2000
86,2021-01,ANG MO KIO,425,ANG MO KIO AVE 3,3-ROOM,2400
87,2021-01,ANG MO KIO,425,ANG MO KIO AVE 3,3-ROOM,2200
88,2021-01,ANG MO KIO,428,ANG MO KIO AVE 3,4-ROOM,2400
89,2021-01,ANG MO KIO,432,ANG MO KIO AVE 10,4-ROOM,2100
90,2021-01,ANG MO KIO,434,ANG MO KIO AVE 10,3-ROOM,1700
91,2021-01,ANG MO KIO,434,ANG MO KIO AVE 10,3-ROOM,1600
92,2021-01,ANG MO KIO,439,ANG MO KIO AVE 10,5-ROOM,2000
93,2021-01,ANG MO KIO,441,ANG MO KIO AVE 10,3-ROOM,2200
94,2021-01,ANG MO KIO,442,ANG MO KIO AVE 10,3-ROOM,1650
95,2021-01,ANG MO KIO,445,ANG MO KIO AVE 10,3-ROOM,1800
96,2021-01,ANG MO KIO,449,ANG MO KIO AVE 10,3-ROOM,1650
97,2021-01,ANG MO KIO,452,ANG MO KIO AVE 10,3-ROOM,1600
98,2021-01,ANG MO KIO,456,ANG MO KIO AVE 10,3-ROOM,1850
99,2021-01,ANG MO KIO,457,ANG MO KIO AVE 10,3-ROOM,1900
100,2021-01,ANG MO KIO,457,ANG MO KIO AVE 10,3-ROOM,2000
101,2021-01,ANG MO KIO,461,ANG MO KIO AVE 10,3-ROOM,1500
102,2021-01,ANG MO KIO,462,ANG MO KIO AVE 10,3-ROOM,1600
103,2021-01,ANG MO KIO,462,ANG MO KIO AVE 10,3-ROOM,1850
104,2021-01,ANG MO KIO,463,ANG MO KIO AVE 10,3-ROOM,1700
105,2021-01,ANG MO KIO,463,ANG MO KIO AVE 10,3-ROOM,2300
106,2021-01,ANG MO KIO,472,ANG MO KIO AVE 10,4-ROOM,2400
107,2021-01,ANG MO KIO,473,ANG MO KIO AVE 10,3-ROOM,1500
108,2021-01,ANG MO KIO,475,ANG MO KIO AVE 10,3-ROOM,1700
109,2021-01,ANG MO KIO,501,ANG MO KIO AVE 5,5-ROOM,2200
110,2021-01,ANG MO KIO,502,ANG MO KIO AVE 5,3-ROOM,1800
111,2021-01,ANG MO KIO,502,ANG MO KIO AVE 5,3-ROOM,1650
112,2021-01,ANG MO KIO,505,ANG MO KIO AVE 8,3-ROOM,1800
113,2021-01,ANG MO KIO,506,ANG MO KIO AVE 8,3-ROOM,2100
114,2021-01,ANG MO KIO,507,ANG MO KIO AVE 8,3-ROOM,1600
115,2021-01,ANG MO KIO,509,ANG MO KIO AVE 8,3-ROOM,1800
116,2021-01,ANG MO KIO,511,ANG MO KIO AVE 8,4-ROOM,2200
117,2021-01,ANG MO KIO,512,ANG MO KIO AVE 8,3-ROOM,1800
118,2021-01,ANG MO KIO,513,ANG MO KIO AVE 8,3-ROOM,1700
119,2021-01,ANG MO KIO,523,ANG MO KIO AVE 5,3-ROOM,1900
120,2021-01,ANG MO KIO,523,ANG MO KIO AVE 5,3-ROOM,2000
121,2021-01,ANG MO KIO,523,ANG MO KIO AVE 5,3-ROOM,1500
122,2021-01,ANG MO KIO,524,ANG MO KIO AVE 5,3-ROOM,1800
123,2021-01,ANG MO KIO,535,ANG MO KIO AVE 5,3-ROOM,1750
124,2021-01,ANG MO KIO,535,ANG MO KIO AVE 5,3-ROOM,1500
125,2021-01,ANG MO KIO,535,ANG MO KIO AVE 5,3-ROOM,1700
126,2021-01,ANG MO KIO,536,ANG MO KIO AVE 10,3-ROOM,1700
127,2021-01,ANG MO KIO,537,ANG MO KIO AVE 5,4-ROOM,2100
128,2021-01,ANG MO KIO,538,ANG MO KIO AVE 5,3-ROOM,2400
129,2021-01,ANG MO KIO,539,ANG MO KIO AVE 10,5-ROOM,2300
130,2021-01,ANG MO KIO,539,ANG MO KIO AVE 10,5-ROOM,1850
131,2021-01,ANG MO KIO,540,ANG MO KIO AVE 10,3-ROOM,1700
132,2021-01,ANG MO KIO,541,ANG MO KIO AVE 10,3-ROOM,1600
133,2021-01,ANG MO KIO,544,ANG MO KIO AVE 10,4-ROOM,2000
134,2021-01,ANG MO KIO,544,ANG MO KIO AVE 10,4-ROOM,2200
135,2021-01,ANG MO KIO,546,ANG MO KIO AVE 10,4-ROOM,2300
136,2021-01,ANG MO KIO,549,ANG MO KIO AVE 10,3-ROOM,2000
137,2021-01,ANG MO KIO,550,ANG MO KIO AVE 10,3-ROOM,1800
138,2021-01,ANG MO KIO,556,ANG MO KIO AVE 10,3-ROOM,1600
139,2021-01,ANG MO KIO,557,ANG MO KIO AVE 10,3-ROOM,1500
140,2021-01,ANG MO KIO,560,ANG MO KIO AVE 10,3-ROOM,1800
141,2021-01,ANG MO KIO,561,ANG MO KIO AVE 10,3-ROOM,2000
142,2021-01,ANG MO KIO,563,ANG MO KIO AVE 3,4-ROOM,2000
143,2021-01,ANG MO KIO,565,ANG MO KIO AVE 3,3-ROOM,1900
144,2021-01,ANG MO KIO,565,ANG MO KIO AVE 3,3-ROOM,1700
145,2021-01,ANG MO KIO,571,ANG MO KIO AVE 3,3-ROOM,1100
146,2021-01,ANG MO KIO,572,ANG MO KIO AVE 3,4-ROOM,2500
147,2021-01,ANG MO KIO,572,ANG MO KIO AVE 3,4-ROOM,2200
148,2021-01,ANG MO KIO,573,ANG MO KIO AVE 3,4-ROOM,2500
149,2021-01,ANG MO KIO,573,ANG MO KIO AVE 3,4-ROOM,1900
150,2021-01,ANG MO KIO,584,ANG MO KIO AVE 3,3-ROOM,1800
151,2021-01,ANG MO KIO,585,ANG MO KIO AVE 3,3-ROOM,1800
152,2021-01,ANG MO KIO,587,ANG MO KIO AVE 3,3-ROOM,2000
153,2021-01,ANG MO KIO,602,ANG MO KIO AVE 5,3-ROOM,1500
154,2021-01,ANG MO KIO,604,ANG MO KIO AVE 5,3-ROOM,1550
155,2021-01,ANG MO KIO,606,ANG MO KIO AVE 5,3-ROOM,1800
156,2021-01,ANG MO KIO,606,ANG MO KIO AVE 5,3-ROOM,1750
157,2021-01,ANG MO KIO,608,ANG MO KIO AVE 5,3-ROOM,2000
158,2021-01,ANG MO KIO,610,ANG MO KIO AVE 4,3-ROOM,1850
159,2021-01,ANG MO KIO,610,ANG MO KIO AVE 4,3-ROOM,2040
160,2021-01,ANG MO KIO,615,ANG MO KIO AVE 4,EXECUTIVE,2400
161,2021-01,ANG MO KIO,615,ANG MO KIO AVE 4,EXECUTIVE,2200
162,2021-01,ANG MO KIO,615,ANG MO KIO AVE 4,EXECUTIVE,2600
163,2021-01,ANG MO KIO,621,ANG MO KIO AVE 9,3-ROOM,1750
164,2021-01,ANG MO KIO,622,ANG MO KIO AVE 9,5-ROOM,2100
165,2021-01,ANG MO KIO,625,ANG MO KIO AVE 9,3-ROOM,1800
166,2021-01,ANG MO KIO,634,ANG MO KIO AVE 6,4-ROOM,2200
167,2021-01,ANG MO KIO,637,ANG MO KIO AVE 6,4-ROOM,2100
168,2021-01,ANG MO KIO,637,ANG MO KIO AVE 6,3-ROOM,2050
169,2021-01,ANG MO KIO,639,ANG MO KIO AVE 6,3-ROOM,1600
170,2021-01,ANG MO KIO,643,ANG MO KIO AVE 5,3-ROOM,1750
171,2021-01,ANG MO KIO,643,ANG MO KIO AVE 5,3-ROOM,1600
172,2021-01,ANG MO KIO,643,ANG MO KIO AVE 5,3-ROOM,1500
173,2021-01,ANG MO KIO,646,ANG MO KIO AVE 6,3-ROOM,1900
174,2021-01,ANG MO KIO,648,ANG MO KIO AVE 5,5-ROOM,2650
175,2021-01,ANG MO KIO,650,ANG MO KIO ST 61,3-ROOM,2200
176,2021-01,ANG MO KIO,716,ANG MO KIO AVE 6,5-ROOM,2750
177,2021-01,ANG MO KIO,716,ANG MO KIO AVE 6,5-ROOM,2800
178,2021-01,ANG MO KIO,725,ANG MO KIO AVE 6,5-ROOM,2600
179,2021-01,ANG MO KIO,308A,ANG MO KIO AVE 1,4-ROOM,2350
180,2021-01,ANG MO KIO,315B,ANG MO KIO ST 31,5-ROOM,2300
181,2021-01,ANG MO KIO,316A,ANG MO KIO ST 31,4-ROOM,2500
182,2021-01,ANG MO KIO,588C,ANG MO KIO ST 52,4-ROOM,2700
183,2021-01,ANG MO KIO,590A,ANG MO KIO ST 51,4-ROOM,2200
184,2021-01,ANG MO KIO,596A,ANG MO KIO ST 52,5-ROOM,2400
185,2021-01,ANG MO KIO,596D,ANG MO KIO ST 52,5-ROOM,2400
186,2021-01,ANG MO KIO,700B,ANG MO KIO AVE 6,5-ROOM,2650
187,2021-01,BEDOK,2,BEDOK STH AVE 1,3-ROOM,1900
188,2021-01,BEDOK,4,BEDOK STH AVE 1,3-ROOM,2100
189,2021-01,BEDOK,7,BEDOK STH AVE 2,4-ROOM,2250
190,2021-01,BEDOK,7,BEDOK STH AVE 2,4-ROOM,2200
191,2021-01,BEDOK,18,BEDOK STH RD,3-ROOM,1800
192,2021-01,BEDOK,19,CHAI CHEE RD,3-ROOM,1700
193,2021-01,BEDOK,21,CHAI CHEE RD,3-ROOM,1650
194,2021-01,BEDOK,21,CHAI CHEE RD,3-ROOM,1800
195,2021-01,BEDOK,22,BEDOK STH AVE 1,3-ROOM,2000
196,2021-01,BEDOK,22,BEDOK STH AVE 1,3-ROOM,1800
197,2021-01,BEDOK,23,BEDOK STH AVE 1,3-ROOM,1900
198,2021-01,BEDOK,24,NEW UPP CHANGI RD,3-ROOM,2100
199,2021-01,BEDOK,27,NEW UPP CHANGI RD,3-ROOM,1750
200,2021-01,BEDOK,27,NEW UPP CHANGI RD,3-ROOM,1700
201,2021-01,BEDOK,27,NEW UPP CHANGI RD,3-ROOM,1900
202,2021-01,BEDOK,29,NEW UPP CHANGI RD,3-ROOM,1880
203,2021-01,BEDOK,30,NEW UPP CHANGI RD,3-ROOM,1800
204,2021-01,BEDOK,30,NEW UPP CHANGI RD,3-ROOM,1850
205,2021-01,BEDOK,32,CHAI CHEE AVE,3-ROOM,2000
206,2021-01,BEDOK,32,CHAI CHEE AVE,3-ROOM,1950
207,2021-01,BEDOK,33,CHAI CHEE AVE,5-ROOM,2700
208,2021-01,BEDOK,33,CHAI CHEE AVE,5-ROOM,2850
209,2021-01,BEDOK,35,CHAI CHEE AVE,4-ROOM,2400
210,2021-01,BEDOK,36,BEDOK STH AVE 2,4-ROOM,1850
211,2021-01,BEDOK,37,BEDOK STH AVE 2,4-ROOM,2000
212,2021-01,BEDOK,37,BEDOK STH AVE 2,4-ROOM,2600
213,2021-01,BEDOK,38,BEDOK STH RD,2-ROOM,1500
214,2021-01,BEDOK,40,CHAI CHEE AVE,3-ROOM,1600
215,2021-01,BEDOK,41,BEDOK STH RD,4-ROOM,1950
216,2021-01,BEDOK,42,CHAI CHEE ST,3-ROOM,1900
217,2021-01,BEDOK,42,CHAI CHEE ST,3-ROOM,1600
218,2021-01,BEDOK,44,CHAI CHEE ST,3-ROOM,1600
219,2021-01,BEDOK,44,CHAI CHEE ST,3-ROOM,1800
220,2021-01,BEDOK,50,CHAI CHEE ST,3-ROOM,1800
221,2021-01,BEDOK,51,NEW UPP CHANGI RD,4-ROOM,1800
222,2021-01,BEDOK,52,NEW UPP CHANGI RD,4-ROOM,2150
223,2021-01,BEDOK,54,CHAI CHEE ST,3-ROOM,1900
224,2021-01,BEDOK,54,CHAI CHEE ST,3-ROOM,1800
225,2021-01,BEDOK,54,NEW UPP CHANGI RD,5-ROOM,2600
226,2021-01,BEDOK,55,CHAI CHEE DR,3-ROOM,1500
227,2021-01,BEDOK,57,NEW UPP CHANGI RD,3-ROOM,1500
228,2021-01,BEDOK,57,NEW UPP CHANGI RD,3-ROOM,1750
229,2021-01,BEDOK,59,CHAI CHEE RD,3-ROOM,2000
230,2021-01,BEDOK,62,NEW UPP CHANGI RD,4-ROOM,2000
231,2021-01,BEDOK,63,CHAI CHEE RD,5-ROOM,2400
232,2021-01,BEDOK,65,NEW UPP CHANGI RD,4-ROOM,2300
233,2021-01,BEDOK,67,BEDOK STH AVE 3,5-ROOM,2200
234,2021-01,BEDOK,71,BEDOK STH RD,4-ROOM,2500
235,2021-01,BEDOK,72,BEDOK STH AVE 3,5-ROOM,2200
236,2021-01,BEDOK,75,BEDOK NTH RD,3-ROOM,1900
237,2021-01,BEDOK,76,BEDOK NTH RD,3-ROOM,1950
238,2021-01,BEDOK,79,BEDOK NTH RD,4-ROOM,1850
239,2021-01,BEDOK,80,BEDOK NTH RD,4-ROOM,2300
240,2021-01,BEDOK,82,BEDOK NTH RD,4-ROOM,2050
241,2021-01,BEDOK,82,BEDOK NTH RD,4-ROOM,2150
242,2021-01,BEDOK,92,BEDOK NTH AVE 4,3-ROOM,1500
243,2021-01,BEDOK,95,BEDOK NTH AVE 4,4-ROOM,1800
244,2021-01,BEDOK,99,BEDOK NTH AVE 4,5-ROOM,2000
245,2021-01,BEDOK,103,BEDOK NTH AVE 4,3-ROOM,1750
246,2021-01,BEDOK,103,LENGKONG TIGA,5-ROOM,2600
247,2021-01,BEDOK,104,BEDOK RESERVOIR RD,5-ROOM,2300
248,2021-01,BEDOK,107,BEDOK NTH RD,3-ROOM,1800
249,2021-01,BEDOK,109,LENGKONG TIGA,5-ROOM,2550
250,2021-01,BEDOK,110,BEDOK NTH RD,3-ROOM,1600
251,2021-01,BEDOK,112,LENGKONG TIGA,5-ROOM,2600
252,2021-01,BEDOK,112,LENGKONG TIGA,5-ROOM,2650
253,2021-01,BEDOK,115,BEDOK NTH RD,3-ROOM,1800
254,2021-01,BEDOK,117,BEDOK NTH RD,3-ROOM,1650
255,2021-01,BEDOK,117,BEDOK RESERVOIR RD,3-ROOM,1800
256,2021-01,BEDOK,118,BEDOK RESERVOIR RD,4-ROOM,1900
257,2021-01,BEDOK,121,BEDOK RESERVOIR RD,3-ROOM,1800
258,2021-01,BEDOK,124,BEDOK NTH RD,4-ROOM,2150
259,2021-01,BEDOK,124,BEDOK RESERVOIR RD,4-ROOM,2600
260,2021-01,BEDOK,126,BEDOK NTH ST 2,3-ROOM,2000
261,2021-01,BEDOK,128,BEDOK NTH ST 2,3-ROOM,1900
262,2021-01,BEDOK,128,BEDOK NTH ST 2,3-ROOM,1850
263,2021-01,BEDOK,128,BEDOK NTH ST 2,3-ROOM,1200
264,2021-01,BEDOK,129,BEDOK NTH ST 2,4-ROOM,1800
265,2021-01,BEDOK,129,BEDOK NTH ST 2,4-ROOM,2400
266,2021-01,BEDOK,130,BEDOK NTH ST 2,4-ROOM,2300
267,2021-01,BEDOK,133,BEDOK NTH AVE 3,4-ROOM,2100
268,2021-01,BEDOK,134,BEDOK NTH ST 2,3-ROOM,1800
269,2021-01,BEDOK,134,BEDOK NTH ST 2,4-ROOM,2200
270,2021-01,BEDOK,134,BEDOK RESERVOIR RD,4-ROOM,1950
271,2021-01,BEDOK,135,BEDOK NTH ST 2,3-ROOM,1600
272,2021-01,BEDOK,135,BEDOK RESERVOIR RD,4-ROOM,2100
273,2021-01,BEDOK,138,BEDOK NTH ST 2,3-ROOM,1500
274,2021-01,BEDOK,140,BEDOK NTH ST 2,5-ROOM,2100
275,2021-01,BEDOK,145,BEDOK RESERVOIR RD,EXECUTIVE,2600
276,2021-01,BEDOK,148,BEDOK RESERVOIR RD,4-ROOM,2200
277,2021-01,BEDOK,150,BEDOK RESERVOIR RD,3-ROOM,1550
278,2021-01,BEDOK,157,BEDOK STH AVE 3,4-ROOM,2300
279,2021-01,BEDOK,159,BEDOK STH AVE 3,4-ROOM,2600
280,2021-01,BEDOK,169,BEDOK STH AVE 3,4-ROOM,1800
281,2021-01,BEDOK,182,BEDOK NTH RD,4-ROOM,2200
282,2021-01,BEDOK,183,BEDOK NTH RD,4-ROOM,2200
283,2021-01,BEDOK,185,BEDOK NTH RD,4-ROOM,2100
284,2021-01,BEDOK,204,BEDOK NTH ST 1,3-ROOM,2000
285,2021-01,BEDOK,210,NEW UPP CHANGI RD,3-ROOM,1000
286,2021-01,BEDOK,213,BEDOK NTH ST 1,3-ROOM,1800
287,2021-01,BEDOK,404,BEDOK NTH AVE 3,4-ROOM,2400
288,2021-01,BEDOK,405,BEDOK NTH AVE 3,5-ROOM,2800
289,2021-01,BEDOK,413,BEDOK NTH AVE 2,5-ROOM,2300
290,2021-01,BEDOK,416,BEDOK NTH AVE 2,3-ROOM,1450
291,2021-01,BEDOK,417,BEDOK NTH AVE 2,5-ROOM,2000
292,2021-01,BEDOK,419,BEDOK NTH ST 1,3-ROOM,1900
293,2021-01,BEDOK,420,BEDOK NTH ST 1,3-ROOM,2000
294,2021-01,BEDOK,420,BEDOK NTH ST 1,3-ROOM,1500
295,2021-01,BEDOK,423,BEDOK NTH AVE 1,3-ROOM,1850
296,2021-01,BEDOK,425,BEDOK NTH RD,3-ROOM,1850
297,2021-01,BEDOK,426,BEDOK NTH RD,3-ROOM,1500
298,2021-01,BEDOK,502,BEDOK NTH ST 3,3-ROOM,1900
299,2021-01,BEDOK,503,BEDOK NTH ST 3,3-ROOM,1800
300,2021-01,BEDOK,503,BEDOK NTH ST 3,3-ROOM,1300
301,2021-01,BEDOK,503,BEDOK NTH ST 3,3-ROOM,1750
302,2021-01,BEDOK,519,BEDOK NTH AVE 1,3-ROOM,1800
303,2021-01,BEDOK,520,BEDOK NTH AVE 1,3-ROOM,1750
304,2021-01,BEDOK,520,BEDOK NTH AVE 1,3-ROOM,2200
305,2021-01,BEDOK,521,BEDOK NTH AVE 1,3-ROOM,1800
306,2021-01,BEDOK,525,BEDOK NTH ST 3,3-ROOM,1600
307,2021-01,BEDOK,528,BEDOK NTH ST 3,3-ROOM,1900
308,2021-01,BEDOK,530,BEDOK NTH ST 3,4-ROOM,2300
309,2021-01,BEDOK,534,BEDOK NTH ST 3,4-ROOM,2400
310,2021-01,BEDOK,534,BEDOK NTH ST 3,3-ROOM,1900
311,2021-01,BEDOK,536,BEDOK NTH ST 3,3-ROOM,1600
312,2021-01,BEDOK,537,BEDOK NTH ST 3,3-ROOM,1700
313,2021-01,BEDOK,541,BEDOK NTH ST 3,2-ROOM,1500
314,2021-01,BEDOK,543,BEDOK NTH ST 3,4-ROOM,1800
315,2021-01,BEDOK,545,BEDOK NTH ST 3,4-ROOM,2000
316,2021-01,BEDOK,545,BEDOK NTH ST 3,3-ROOM,1850
317,2021-01,BEDOK,546,BEDOK NTH ST 3,3-ROOM,1500
318,2021-01,BEDOK,546,BEDOK NTH ST 3,4-ROOM,2000
319,2021-01,BEDOK,601,BEDOK RESERVOIR RD,5-ROOM,1900
320,2021-01,BEDOK,602,BEDOK RESERVOIR RD,4-ROOM,1700
321,2021-01,BEDOK,602,BEDOK RESERVOIR RD,5-ROOM,1800
322,2021-01,BEDOK,604,BEDOK RESERVOIR RD,4-ROOM,2000
323,2021-01,BEDOK,611,BEDOK RESERVOIR RD,5-ROOM,2200
324,2021-01,BEDOK,612,BEDOK RESERVOIR RD,4-ROOM,1700
325,2021-01,BEDOK,617,BEDOK RESERVOIR RD,3-ROOM,1750
326,2021-01,BEDOK,619,BEDOK RESERVOIR RD,3-ROOM,1600
327,2021-01,BEDOK,619,BEDOK RESERVOIR RD,3-ROOM,1700
328,2021-01,BEDOK,626,BEDOK RESERVOIR RD,4-ROOM,2000
329,2021-01,BEDOK,626,BEDOK RESERVOIR RD,4-ROOM,2200
330,2021-01,BEDOK,629,BEDOK RESERVOIR RD,5-ROOM,2800
331,2021-01,BEDOK,637,BEDOK RESERVOIR RD,EXECUTIVE,2400
332,2021-01,BEDOK,639,BEDOK RESERVOIR RD,EXECUTIVE,2500
333,2021-01,BEDOK,649,JLN TENAGA,5-ROOM,2000
334,2021-01,BEDOK,651,JLN TENAGA,4-ROOM,2100
335,2021-01,BEDOK,653,JLN TENAGA,5-ROOM,2600
336,2021-01,BEDOK,658,JLN TENAGA,4-ROOM,2150
337,2021-01,BEDOK,701,BEDOK RESERVOIR RD,3-ROOM,2000
338,2021-01,BEDOK,704,BEDOK RESERVOIR RD,3-ROOM,1450
339,2021-01,BEDOK,711,BEDOK RESERVOIR RD,5-ROOM,2100
340,2021-01,BEDOK,712,BEDOK RESERVOIR RD,3-ROOM,1800
341,2021-01,BEDOK,713,BEDOK RESERVOIR RD,3-ROOM,1850
342,2021-01,BEDOK,715,BEDOK RESERVOIR RD,5-ROOM,2200
343,2021-01,BEDOK,715,BEDOK RESERVOIR RD,5-ROOM,2350
344,2021-01,BEDOK,715,BEDOK RESERVOIR RD,4-ROOM,2200
345,2021-01,BEDOK,717,BEDOK RESERVOIR RD,5-ROOM,2900
346,2021-01,BEDOK,721,BEDOK RESERVOIR RD,EXECUTIVE,2500
